#        iZ ne nv  color     RvdW   EvdW,          Quff  QEq{ Eaff,   Ehard, Ra,    eta    } 
H         1  1  1  0xFFFFFF  1.487   0.0006808     0.712    -4.528	13.8904	0.371	1.0698     
He        2  2  0  0xFFC0CB  1.4815  0.000945      0.098
Li        3  1  1  0xB22222  1.2255  0.0010841     1.026    -3.006   4.772  1.557   0.4174
Be        4  2  2  0xFF1493  1.3725  0.0036859     1.565    
B         5  3  3  0x00FF00  2.0415  0.0078054     1.755  
C         6  4  4  0x909090  1.908   0.0037292     1.912    -5.343	10.126	0.759	0.8563      
N         7  5  3  0x3050F8  1.780   0.0073719     2.544    -6.899	11.76	0.715	0.9089   
O         8  6  2  0xFF0D0D  1.661   0.0091063     2.300    -8.741	13.364	0.669	0.9745       
F         9  7  1  0x1FF01F  1.661   0.0091063     1.735    -8.741	13.364	0.669	0.9745     
Ne       10  8  0  0xFF1493  2.0000  0.001         0.194
Na       11  1  1  0xAB5CF2  1.300   0.0020000     1.081    -2.843	4.592	2.085	0.4364    
Mg       12  2  2  0x228B22  1.5105  0.0048133     1.787
Al       13  3  3  0x808090  2.2495  0.0218985     1.792
Si       14  4  4  0xDAA520  2.1475  0.0174321     2.323    -4.168   6.974   1.176   0.7737
P        15  3  3  0xFFA500  2.0735  0.0132258     2.863    -5.463   8.000   1.102   0.8257
S        16  2  2  0xFFC832  2.0175  0.0118816     2.703    -6.928   8.972   1.047   0.8690
Cl       17  7 1   0x1FF01F  1.948   0.0200000     2.348    -8.564   9.892   0.994   0.9154  
E       200  0 0   0x00FFFF  0.5     0.001         0.000
